Year ,District,PPM
2018,Vellore,0.0
2018,Vellore,26.5
2018,Vellore,29.6
2018,Vellore,0.0
2018,Vellore,36.0
2018,Vellore,18.0
2018,Vellore,30.7
2018,Vellore,33.9
2018,Vellore,28.6
2018,Vellore,33.9
2018,Vellore,0.0
2018,Vellore,48.7
2018,Vellore,5.3
2018,Vellore,45.5
2018,Vellore,44.4
2018,Vellore,4.2
2018,Vellore,21.2
2018,Vellore,23.3
2018,Vellore,5.3
2018,Vellore,60.3
2018,Vellore,4.2
2018,Vellore,0.0
2018,Vellore,0.0
2018,Vellore,25.4
2018,Vellore,15.9
2018,Vellore,19.0
2018,Vellore,51.8
2018,Vellore,37.0
2018,Vellore,54.0
2018,Vellore,0.0
2018,Vellore,18.0
2018,Vellore,57.1
2018,Vellore,27.5
2018,Vellore,87.8
2018,Vellore,75.1
2018,Vellore,0.0
2018,Vellore,0.0
2018,Vellore,47.6
2018,Vellore,21.2
2018,Vellore,39.1
2018,Vellore,40.2
2018,Vellore,41.3
2018,Vellore,44.4
2018,Vellore,30.7
2018,Vellore,63.5
2018,Vellore,16.9
2018,Vellore,64.5
2018,Vellore,12.7
2018,Vellore,8.5
2018,Vellore,7.4
2018,Vellore,30.7
2018,Vellore,47.6
2018,Villupuram,0.0
2018,Villupuram,52.9
2018,Villupuram,23.3
2018,Villupuram,37.0
2018,Villupuram,14.8
2018,Villupuram,9.5
2018,Villupuram,9.5
2018,Villupuram,8.5
2018,Villupuram,15.9
2018,Villupuram,25.4
2018,Villupuram,18.0
2018,Villupuram,41.3
2018,Villupuram,5.3
2018,Villupuram,7.4
2018,Villupuram,6.3
2018,Villupuram,27.5
2018,Villupuram,0.0
2018,Villupuram,0.0
2018,Villupuram,0.0
2018,Villupuram,0.0
2018,Villupuram,23.3
2018,Villupuram,29.6
2018,Villupuram,19.0
2018,Villupuram,13.8
2018,Villupuram,28.6
2018,Villupuram,36.0
2018,Villupuram,46.6
2018,Villupuram,8.5
2018,Villupuram,7.4
2018,Villupuram,14.8
2018,Villupuram,28.6
2018,Villupuram,0.0
2018,Villupuram,0.0
2018,Villupuram,0.0
2018,Villupuram,16.9
2018,Villupuram,33.9
2018,Villupuram,67.7
2018,Villupuram,41.3
2018,Villupuram,60.3
2018,Villupuram,16.9
2018,Villupuram,0.0
2018,Villupuram,29.6
2018,Villupuram,0.0
2018,Villupuram,37.0
2018,Villupuram,0.0
2018,Villupuram,36.0
2018,Villupuram,32.8
2018,Villupuram,32.8
2018,Virudhunagar,32.8
2018,Virudhunagar,40.2
2018,Virudhunagar,9.5
2018,Virudhunagar,19.0
2018,Virudhunagar,7.4
2018,Virudhunagar,0.0
2018,Virudhunagar,20.1
2018,Virudhunagar,44.4
2018,Virudhunagar,41.3
2018,Virudhunagar,5.3
2018,Virudhunagar,32.8
2018,Virudhunagar,5.3
2018,Virudhunagar,28.6
2018,Virudhunagar,22.2
2018,Virudhunagar,30.7
2018,Virudhunagar,8.5
2018,Virudhunagar,43.4
2018,Virudhunagar,32.8
2018,Virudhunagar,28.6
2018,Virudhunagar,0.0
2018,Virudhunagar,0.0
2018,Virudhunagar,39.1
2018,Virudhunagar,8.5
2018,Virudhunagar,0.0
2018,Virudhunagar,9.5
2018,Virudhunagar,0.0
2018,Virudhunagar,9.5
2018,Virudhunagar,24.3
2018,Virudhunagar,0.0
2018,Virudhunagar,26.5
2018,Virudhunagar,34.9
2018,Virudhunagar,12.7
2018,Virudhunagar,0.0
2018,Virudhunagar,23.3
2018,Virudhunagar,42.3
2018,Virudhunagar,15.9
2018,Virudhunagar,63.5
2018,Virudhunagar,37.0
2018,Virudhunagar,0.0
2018,Virudhunagar,0.0
2018,Virudhunagar,34.9
2018,Virudhunagar,11.6
2018,Virudhunagar,46.6
2018,Virudhunagar,22.2
2018,Virudhunagar,0.0
2018,Virudhunagar,0.0
2018,Virudhunagar,0.0
2018,Virudhunagar,15.9
2018,Virudhunagar,0.0
2018,Kaniyakumari,33.9
2018,Kaniyakumari,26.5
2018,Kaniyakumari,33.9
2018,Kaniyakumari,0.0
2018,Erode,30.7
2018,Erode,24.3
2018,Erode,8.5
2018,Erode,33.9
2018,Virudhunagar,7.4
2018,Virudhunagar,3.2
2018,Virudhunagar,26.5
2018,Virudhunagar,28.6
2018,Virudhunagar,36.0
2018,Tiruvannamalai,4.2
2018,Tiruvannamalai,10.6
2018,Tiruvannamalai,40.2
2018,Tiruvannamalai,38.1
2018,Tiruvannamalai,32.8
2018,Tiruvannamalai,32.8
2018,Tuticorin,41.3
2018,Tuticorin,36.0
2018,Tuticorin,28.6
2018,Tuticorin,29.6
2018,Tuticorin,27.5
2018,Coimbatore,25.4
2018,Coimbatore,23.3
2018,Coimbatore,0.0
2018,Coimbatore,24.3
2018,Coimbatore,0.0
2018,Coimbatore,5.3
2018,Coimbatore,5.3
2018,Coimbatore,15.9
2018,Coimbatore,13.8
2018,Coimbatore,25.4
2018,Tuticorin,19.0
2018,Tuticorin,12.7
2018,Tuticorin,21.2
2018,Tuticorin,20.1
2018,Tuticorin,14.8
2018,Vellore,20.1
2018,Vellore,26.5
2018,Vellore,22.2
2018,Vellore,6.3
2018,Vellore,27.5
2018,Tuticorin,14.8
2018,Tuticorin,22.2
2018,Tiruvannamalai,24.3
2018,Tiruvannamalai,25.4
2018,Tiruvannamalai,33.9
2018,Tiruvannamalai,4.2
2018,Villupuram,37.0
2018,Villupuram,41.3
2018,Villupuram,44.4
2018,Villupuram,24.3
2018,Salem,26.5
2018,Salem,37.0
2018,Salem,40.2
2018,Salem,36.0
2018,Salem,40.2
2018,Salem,39.1
2018,Villupuram,15.9
2018,Villupuram,19.0
2018,Villupuram,0.0
2018,Villupuram,39.1
2018,The Nilgiris,13.8
2018,The Nilgiris,37.0
2018,The Nilgiris,14.8
2018,The Nilgiris,50.8
2018,Tiruppur,25.4
2018,Tiruppur,0.0
2018,Sivaganga,29.6
2018,Sivaganga,0.0
2018,Sivaganga,0.0
2018,Thiruvallur,3.2
2018,Thiruvallur,27.5
2018,Thiruvallur,29.6
2018,Thiruvallur,0.0
2018,Thiruvallur,36.0
2018,Thiruvallur,0.0
2018,Thiruvallur,43.4
2018,Thiruvallur,28.6
2018,Thiruvallur,0.0
2018,Thiruvallur,26.5
2018,Thiruvallur,44.4
2018,Thiruvallur,19.0
2018,Thiruvallur,31.7
2018,Thiruvallur,0.0
2018,Thiruvallur,38.1
2018,Thiruvallur,27.5
2018,Pudukottai,22.2
2018,Pudukottai,28.6
2018,Pudukottai,30.7
2018,Pudukottai,37.0
2018,Pudukottai,36.0
2018,Pudukottai,0.0
2018,Pudukottai,28.6
2018,Pudukottai,0.0
2018,Pudukottai,47.6
2018,Pudukottai,33.9
2018,Pudukottai,30.7
2018,Pudukottai,37.0
2018,Pudukottai,16.9
2018,Pudukottai,10.6
2018,Pudukottai,74.1
2018,Pudukottai,31.7
2018,Pudukottai,25.4
2018,Tirunelveli,21.2
2018,Tirunelveli,19.0
2018,Tirunelveli,25.4
2018,Tirunelveli,44.4
2018,Namakkal,32.8
2018,Namakkal,22.2
2018,Namakkal,32.8
2018,Sivaganga,32.8
2018,Sivaganga,34.9
2018,Sivaganga,36.0
2018,Vellore,39.1
2018,Vellore,34.9
2018,Vellore,7.4
2018,Vellore,39.1
